id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
116.0,Tether Gold  XAUT,"R$ 18.981,12",0.0%,0.7%,3.6%,1.0%,R$ 138.202.561,R$ 4.676.205.612,R$ 4.676.205.612,10.0
117.0,Core  CORE,"R$ 4,60",0.2%,0.3%,4.6%,12.0%,R$ 105.015.737,R$ 4.612.428.173,R$ 9.666.037.223,48.0
118.0,PAX Gold  PAXG,"R$ 19.014,91",0.1%,0.8%,3.3%,1.2%,R$ 238.305.145,R$ 4.550.229.693,R$ 4.550.229.693,10.0
119.0,Lido DAO  LDO,"R$ 5,00",0.7%,4.1%,2.6%,2.4%,R$ 508.401.646,R$ 4.488.308.889,R$ 4.998.967.173,9.0
120.0,StakeWise Staked ETH  OSETH,"R$ 15.029,67",0.5%,0.6%,0.9%,40.0%,"R$ 6.111,69",R$ 4.465.616.575,R$ 4.465.616.575,10.0
121.0,SPX6900  SPX,"R$ 4,79",0.6%,0.4%,19.9%,41.7%,R$ 116.491.720,R$ 4.460.930.915,R$ 4.460.930.915,10.0
122.0,PancakeSwap  CAKE,"R$ 13,77",0.2%,4.6%,9.8%,14.4%,R$ 534.524.129,R$ 4.426.023.178,R$ 5.090.555.949,87.0
123.0,IOTA  IOTA,"R$ 1,17",0.4%,1.9%,7.3%,2.5%,R$ 99.921.567,R$ 4.424.105.003,R$ 5.400.585.190,82.0
124.0,Pudgy Penguins  PENGU,"R$ 0,07034",0.5%,1.2%,2.0%,37.0%,R$ 559.843.908,R$ 4.419.110.193,R$ 5.393.742.473,82.0
125.0,Pyth Network  PYTH,"R$ 0,7582",0.2%,3.8%,2.8%,17.3%,R$ 225.654.423,R$ 4.359.824.255,R$ 7.582.320.393,57.0
126.0,Helium  HNT,"R$ 23,39",0.4%,0.1%,4.4%,2.7%,R$ 26.132.103,R$ 4.276.091.900,R$ 5.207.709.907,82.0
127.0,The Sandbox  SAND,"R$ 1,73",0.1%,1.9%,2.4%,1.0%,R$ 332.939.323,R$ 4.230.605.953,R$ 5.189.108.441,82.0
